eventNm,opar,eventCo,eventStartDate,eventEndDate,eventStartTime,eventEndTime,chrgeInfo,mnnst,auspcInstt,phoneNumber,suprtInstt,seatNumber,admfee,entncAge,dscntInfo,atpn,homepageUrl,advantkInfo,prkplceYn,rdnmadr,lnmadr,latitude,longitude,referenceDate,insttCode
왕초보 사진 강좌,울산도서관 2층 문화교실2,사진을 보는 안목을 높이고 작품사진의 이해도를 높임,2020-05-30,2020-07-25,10:00~12:00,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
DNI(Dream&NIE) - 신문에서 꿈 찾기,울산도서관 2층 문화교실4,신문을 통해 꿈을 다양한 시각과 표현 방법으로 접근하여 구체화시키기,2020-05-30,2020-07-25,10:00~12:00,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
쏙쏙 동시로 배우는 우리 역사,울산도서관 2층 문화교실3,우리나라 왕 이야기를 재미나는 동시로 배우는 수업,2020-05-30,2020-07-25,10:00~12:40,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
내가 제일 멋있어 영어 뮤지컬,울산도서관 2층 문화교실3,뮤지컬 교재를 배우고 노래하고 율동하며 영어를 배움,2020-05-30,2020-07-25,13:30~14:20,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
패권의 역사,울산도서관문화교실1,인문학 강의,2020-05-30,2020-06-27,10:30~12:30,null,무료,울산도서관,울산도서관,052-229-6903,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
경제 인문학 특별 강좌,울산도서관문화교실1,인문학 강의,2020-05-30,2020-07-04,13:30~15:30,null,무료,울산도서관,울산도서관,052-229-6903,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
도심 내 전통시장 책 나들이,큰애기 야시장 쉼터,다양한 문화체험행사,2020-05-30,2020-09-20,09:00~18:00,null,무료,울산중부도서관,울산중부도서관,052-210-6538,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
알짜배기,울산도서관 2층 문화교실4,책을 읽고 재미있는 독후활동을 통해 독서에 대해 흥미유발하는 독서회,2020-05-31,2020-12-20,10:00~12:00,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
책잇수다,울산도서관 2층 문화교실3,책을 읽고 토론을 통해 사고의 폭을 넓히는 독서회,2020-05-31,2020-12-20,10:00~12:00,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
[대관공연] 고선화 소리판Ⅲ 적벽가 완창 발표회,문화예술회관 소공연장,국악,2020-05-31,2020-05-31,14:00~17:00,null,무료,문화예술회관,고선화(개인),052-275-9623,,,,,,,,, ,울산광역시 남구 번영로 200(달동),,35.5428985238,129.3270711177,2020-06-08,6310000
앙코르씨네마_오페라의 유령,문화의전당,뮤지컬,2020-11-04,2020-11-04,19:30,22:10,무료,중구문화의전당,중구문화의전당,052-290-4000,,499,무료,초등학생이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
앙코르씨네마_카르멘,문화의전당,오페라,2020-11-05,2020-11-05,19:30,22:10,무료,중구문화의전당,중구문화의전당,052-290-4000,,499,무료,12세이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
앙코르씨네마_지젤,문화의전당,발레,2020-11-06,2020-11-06,19:30,22:10,무료,중구문화의전당,중구문화의전당,052-290-4000,,499,무료,초등학생이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
앙코르씨네마_레 미제라블,문화의전당,뮤지컬,2020-11-07,2020-11-07,19:30,22:10,무료,중구문화의전당,중구문화의전당,052-290-4000,,499,무료,초등학생이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
조윤범 렉쳐콘서트_모차르트,문화의전당,클래식,2020-11-10,2020-11-10,19:30,22:10,유료,중구문화의전당,중구문화의전당,052-290-4000,,499,"10,000",초등학생이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
"중구심포니오케스트라, 중구건축,명곡산책",문화의전당,음악회,2020-11-12,2020-11-12,19:30,22:10,무료,중구문화의전당,중구문화의전당,052-290-4000,,499,무료,5세이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
매직스크린 가족극「외투」,문화의전당,연극,2020-11-14,2020-11-14,15:00,16:00,무료,중구문화의전당,중구문화의전당,052-290-4000,,499,"10,000",36개월이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
아츠홀릭 판 김정원 피아노 리사이틀 <회상>,문화의전당,클래식,2020-11-19,2020-11-19,19:30,22:10,유료,울산중구어린이급식관리지원센터,중구문화의전당,052-290-4000,,499,"10,000",초등학생이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
씨네스테이지_예브게니 오네긴,문화의전당,오페라,2020-11-24,2020-11-24,19:30,22:10,무료,울산중구어린이급식관리지원센터,중구문화의전당,052-290-4000,,499,무료,초등학생이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
신현필X고희안 재즈콘서트,문화의전당,콘서트,2020-11-26,2020-11-26,19:30,22:10,유료,중구문화의전당,중구문화의전당,052-290-4000,,499,"10,000",초등학생이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
아마도이자람밴드 콘서트,문화의전당,콘서트,2020-11-28,2020-11-28,17:00,19:00,유료,중구문화의전당,중구문화의전당,052-290-4000,,499,"20,000",초등학생이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
데이브레이크 콘서트,문화의전당,뮤지컬,2020-12-05,2020-12-05,17:00,19:00,유료,중구문화의전당,중구문화의전당,052-290-4000,,499,"30,000",초등학생이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
조윤범 렉쳐콘서트_차이코프스키,문화의전당,클래식,2020-12-08,2020-12-08,19:30,22:10,유료,중구문화의전당,중구문화의전당,052-290-4000,,499,"10,000",초등학생이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
아츠홀릭 판 이희문컴퍼니〈한국남자〉,문화의전당,콘서트,2020-12-17,2020-12-17,19:30,22:10,유료,중구문화의전당,중구문화의전당,052-290-4000,,499,"10,000",초등학생이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
웅산의 크리스마스콘서트,문화의전당,콘서트,2020-12-19,2020-12-19,19:00,21:00,유료,중구문화의전당,중구문화의전당,052-290-4000,,499,"30,000",초등학생이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
씨네스테이지_ 겨울이야기,문화의전당,발레,2020-12-22,2020-12-22,19:30,22:10,무료,중구문화의전당,중구문화의전당,052-290-4000,,499,무료,초등학생이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
어린이뮤지컬_고추장 떡볶이,문화의전당,어린이뮤지컬,2020-12-26,2020-12-26,15:00,17:00,유료,중구문화의전당,중구문화의전당,052-290-4000,,499,"10,000",초등학생이상관람가,https://artscenter.junggu.ulsan.kr/03_Menu/01.jsp,마스크착용필스,http://artscenter.junggu.ulsan.kr,http://artscenter.junggu.ulsan.kr,Y,울산광역시 중구 종가로 405(성안동),울산광역시 중구 성안동 244,35.567543,129.321538,2020-10-28,3690000
울주 오디세이,신불산 간월재,매년 영남알프스 억새평원을 배경으로 펼쳐지는 문화예술의 축제,2020-10-09,2020-10-09,12:00,15:00,무료,울주문화예술회관,울주군,052-229-9500,울주군 의회,4000,-,-,-,간월재 억새평원에서 진행되는 산상음악회로 영남알프스 복합웰컴센터 주차장 주차 후 등반하여 공연장소 도착,http://www.uljuart.or.kr/,,Y,울산광역시 울주군 상북면 간월산길 614 (간월산 휴게소),울산광역시 울주군 상북면 등억알프스리 산181,35.5482029,129.0453577,2020-10-21,3730000
