addr,clCd,clCdNm,drTotCnt,estbDd,gdrCnt,hospUrl,intnCnt,postNo,resdntCnt,sdrCnt,sgguCd,sgguCdNm,sidoCd,sidoCdNm,telno,XPos,YPos,yadmNm,ykiho
울산광역시 남구 수암로 118-3 4층 (신정동),31,의원,1,20090123,0,,0,44749,0,1,260001,울산남구,260000,울산,052-260-7581,129.3198601,35.5279332,밝은성모안과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ3MiQzNjE0ODEjNTEjJDEjJDIjJDgz
"울산광역시 동구 방어진순환도로 633 세인트에스타워 2층, 11층 (일산동)",31,의원,1,20150921,0,,0,44068,0,1,260002,울산동구,260000,울산,052-233-9951,129.4277124,35.4983674,방어진 현대마취통증의학과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNDEjJDEjJDQjJDgz
울산광역시 동구 동진로 6 (방어동),31,의원,1,19940520,0,,0,44110,0,1,260002,울산동구,260000,울산,052-251-5577,129.4259346,35.4866706,방어진의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQwMyQyNjEyMjIjNDEjJDEjJDQjJDgz
"울산광역시 남구 삼산로 171 2,3층 (달동)",31,의원,2,20180921,0,,0,44695,0,2,260001,울산남구,260000,울산,052-260-6000,129.3259258,35.5373508,배양규비뇨의학과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxOTYxIzExIyQxIyQzIyQwMyQzNjEyMjIjNjEjJDEjJDgjJDgz
울산광역시 중구 번영로 485 2~3층(일부)층 (약사동),31,의원,2,20100302,0,,0,44479,0,2,260003,울산중구,260000,울산,281-1061,129.3362675,35.5648131,백봉력내과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQxMyQzNjE0ODEjODEjJDEjJDIjJDgz
"울산광역시 남구 봉월로 172 1,2,4,5층 (신정동)",31,의원,2,19920819,0,,0,44669,0,2,260001,울산남구,260000,울산,052-267-4107,129.3079922,35.5476552,백신경외과정형외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ4MiQzNjEyMjIjNjEjJDEjJDAjJDgz
울산광역시 울주군 언양읍 남문길 13-4 (언양읍),31,의원,1,20070111,0,,0,44946,0,1,260100,울산울주군,260000,울산,052-262-6900,129.1220575,35.5646346,백인정형외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzIxIyQxIyQ1IyQxMyQyNjEwMDIjNDEjJDEjJDQjJDgz
울산광역시 울주군 범서읍 점촌4길 32 1층,31,의원,1,20190218,1,,0,44923,0,0,260100,울산울주군,260000,울산,052-961-9111,129.2387798,35.5703858,범서다온의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ5MiQyNjEwMDIjNTEjJDEjJDYjJDgz
울산광역시 중구 번영로 574 5층 (남외동),31,의원,1,20080829,0,,0,44495,0,1,260003,울산중구,260000,울산,052-281-3773,129.3448300,35.5684192,베스트비뇨기과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNTEjJDEjJDYjJDgz
울산광역시 남구 북부순환도로 16 (무거동),31,의원,1,19990313,0,,0,44633,0,1,260001,울산남구,260000,울산,052-224-7482,129.2658231,35.5512985,변준영이비인후과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQ1IyQwMyQzNjE0ODEjNTEjJDEjJDIjJDgz
"울산광역시 중구 번영로 580 (남외동,Sky M빌딩 403호)",31,의원,1,20060224,0,,0,44495,0,1,260003,울산중구,260000,울산,052-298-8275,129.3453715,35.5685691,병영마취통증의학과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ2MiQzNjE4MzIjNjEjJDEjJDgjJDgz
울산광역시 중구 번영로 566 1층 (남외동),31,의원,1,19981210,0,,0,44507,0,1,260003,울산중구,260000,울산,052-293-7575,129.3439504,35.5681607,병영정형외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQ1IyQ3OSQyNjEwMDIjNDEjJDEjJDQjJDgz
울산광역시 남구 문수로369번길 3 (옥동),31,의원,1,19890810,1,,0,44648,0,0,260001,울산남구,260000,울산,052-271-0991,129.2938979,35.5349373,보령의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ2MiQzNjE4MzIjNjEjJDEjJDQjJDgz
울산광역시 중구 반구로 46 2층 (반구동),31,의원,1,20150731,0,,0,44504,0,1,260003,울산중구,260000,울산,052-991-1462,129.3459211,35.5544841,본가정의학과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ5MiQyNjEyMjIjNjEjJDEjJDQjJDgz
울산광역시 동구 방어진순환도로 1133 (서부동),31,의원,1,20020101,0,,0,44016,0,1,260002,울산동구,260000,울산,052-232-8300,129.4247999,35.5393453,본정형외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQ3OSQ0NjE0ODEjNjEjJDEjJDQjJDgz
울산광역시 북구 매곡1로 15 3층 (매곡동),31,의원,1,19981214,0,,0,44220,0,1,260004,울산북구,260000,울산,052-286-1311,129.3538047,35.6428478,봄소아청소년과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQ1IyQ3OSQzNjE0ODEjNjEjJDEjJDAjJDgz
"울산광역시 중구 번영로 580 4층 401호 (남외동, SkyM빌딩)",31,의원,1,20170529,0,,0,44495,0,1,260003,울산중구,260000,울산,052-281-7900,129.3453715,35.5685691,봄정신건강의학과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ5MiQ0NjEwMDIjNjEjJDEjJDQjJDgz
"울산광역시 남구 삼산로 216 5,6,11층 (달동)",31,의원,1,20161201,0,,0,44718,0,1,260001,울산남구,260000,울산,052-716-0075,129.3309397,35.5377737,비너스외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ3MiQzNjEyMjIjNDEjJDEjJDgjJDgz
울산광역시 울주군 상북면 봉화로 342 (),31,의원,1,19960216,0,,0,44904,0,1,260100,울산울주군,260000,울산,052-263-2041,129.0987169,35.5767808,사단법인경찰공제회울산의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ3MiQyNjE4MzIjNDEjJDEjJDgjJDgz
울산광역시 울주군 온산읍 덕신로 256 3층,31,의원,1,20141030,0,,0,45005,0,1,260100,울산울주군,260000,울산,052-237-8880,129.3094978,35.4334105,사랑마취통증의학과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQxMyQyNjE4MzIjNDEjJDEjJDgjJDgz
울산광역시 울주군 삼남면 반구대로 163 40동,31,의원,1,20090312,0,,0,44953,0,1,260100,울산울주군,260000,울산,055-380-1075,129.0896125,35.5174917,삼성SDI(주)부속의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQ4OSQyNjE0ODEjNDEjJDEjJDQjJDgz
울산광역시 중구 번영로 576 3층 (남외동),31,의원,1,20120717,0,,0,44495,0,1,260003,울산중구,260000,울산,052-258-7585,129.3450257,35.5684818,삼성서울피부과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ5OSQ0NjE0ODEjNzEjJDEjJDgjJDgz
울산광역시 남구 문수로369번길 65 (신정동),31,의원,1,20050511,0,,0,44649,0,1,260001,울산남구,260000,울산,052-271-4550,129.2972923,35.5383353,삼성연합가정의학과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzMxIyQyIyQzIyQwMCQzNjEyMjIjNDEjJDEjJDgjJDgz
울산광역시 동구 진성14길 118 (전하동),31,의원,1,20140507,0,,0,44043,0,1,260002,울산동구,260000,울산,052-252-7570,129.4262017,35.5109063,상쾌한연합이비인후과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz
울산광역시 북구 매곡로 115 2층 202호 (매곡동),31,의원,1,20130809,0,,0,44219,0,1,260004,울산북구,260000,울산,052-281-1231,129.3554720,35.6426444,상쾌한이비인후과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ5MiQyNjE0ODEjNjEjJDEjJDgjJDgz
울산광역시 남구 옥현로58번길 4 3층 (무거동),31,의원,1,20020927,1,,0,44614,0,0,260001,울산남구,260000,울산,052-249-2300,129.2618519,35.5411528,새신화의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQxMyQyNjE0ODEjNjEjJDEjJDQjJDgz
울산광역시 남구 수암로 118-3 5층 (신정동),31,의원,1,20061128,0,,0,44749,0,1,260001,울산남구,260000,울산,052-246-3000,129.3198601,35.5279332,새아침연합내과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ3MiQzNjEyMjIjODEjJDEjJDIjJDgz
울산광역시 남구 처용로 16 1층 (야음동),31,의원,1,19960826,1,,0,44765,0,0,260001,울산남구,260000,울산,052-268-1981,129.3405380,35.5181930,새울산의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQ4MiQ0NjE0ODEjNjEjJDEjJDAjJDgz
"울산광역시 남구 수암로 42 2, 4층 (신정동)",31,의원,1,20130808,0,,0,44740,0,1,260001,울산남구,260000,울산,052-276-9787,129.3126862,35.5311010,새울산정형외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ4MiQ0NjEwMDIjNTEjJDEjJDIjJDgz
울산광역시 중구 반구정4길 64 (반구동),31,의원,1,19960902,1,,0,44499,0,0,260003,울산중구,260000,울산,052-292-6291,129.3443688,35.5584815,새현대의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ2MiQyNjE4MzIjODEjJDEjJDIjJDgz
울산광역시 북구 천곡길 169 106동 201호 (천곡동),31,의원,1,20100803,1,,0,44202,0,0,260004,울산북구,260000,울산,052-291-3770,129.3270395,35.6387059,새현대의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ2MiQyNjE0ODEjNjEjJDEjJDgjJDgz
울산광역시 남구 문수로 396 (옥동),31,의원,1,20151229,0,,0,44664,0,1,260001,울산남구,260000,울산,052-258-7604,129.2964809,35.5338384,새현대의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQxIyQ1IyQ5OSQyNjEyMjIjNjEjJDEjJDgjJDgz
울산광역시 중구 번영로 564 7층 (남외동),31,의원,1,20210309,0,,0,44507,0,1,260003,울산중구,260000,울산,052-224-6060,,,서경지유반외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQwMyQzNjE0ODEjNTEjJDEjJDIjJDgz
울산광역시 중구 동천2길 3 (서동),31,의원,1,19970628,0,,0,44481,0,1,260003,울산중구,260000,울산,052-297-1128,129.3465931,35.5811385,서동가정의학과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzExIyQxIyQzIyQ3MiQzNjE4MzIjNjEjJDEjJDgjJDgz
울산광역시 울주군 서생면 해맞이로 872 2층,31,의원,1,20110615,0,,0,45014,0,1,260100,울산울주군,260000,울산,052-239-7582,129.3236232,35.3481657,서생의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ4OSQzNjE4MzIjODEjJDEjJDYjJDgz
울산광역시 중구 서원6길 4 2층 (반구동),31,의원,1,20040503,0,,0,44510,0,1,260003,울산중구,260000,울산,052-282-9990,129.3377457,35.5618431,서울가정의학과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQwMyQ0NjEwMDIjNDEjJDEjJDQjJDgz
울산광역시 동구 방어진순환도로 797 2층 (전하동),31,의원,1,20070307,0,,0,44034,0,1,260002,울산동구,260000,울산,052-236-1677,129.4307291,35.5130251,서울강안과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ3OSQyNjEwMDIjNzEjJDEjJDgjJDgz
울산광역시 중구 번영로 564 6층 (남외동),31,의원,1,20210311,0,,0,44507,0,1,260003,울산중구,260000,울산,052-708-0070,,,서울빙빙이비인후과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQwMyQzNjEyMjIjODEjJDEjJDYjJDgz
울산광역시 울주군 범서읍 울밀로 2822 2-5층,31,의원,2,20101006,0,http://wuos.co.kr,0,44919,0,2,260100,울산울주군,260000,울산,052-224-9100,129.2569048,35.5577179,서울산백준호정형외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ4MiQ0NjEwMDIjNTEjJDEjJDYjJDgz
울산광역시 남구 삼산로 274 5층 (삼산동),31,의원,2,20091224,0,,0,44719,0,2,260001,울산남구,260000,울산,052-269-8575,129.3371409,35.5389443,서울삼성비뇨기과산부인과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ5MiQyNjEwMDIjODEjJDEjJDYjJDgz
울산광역시 중구 젊음의2거리 23 (성남동),31,의원,1,19980311,0,,0,44532,0,1,260003,울산중구,260000,울산,052-244-0222,129.3191809,35.5531836,서울성형외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ4MiQ0NjE0ODEjODEjJDEjJDIjJDgz
울산광역시 북구 매산로 15 참조은빌딩 3층 (매곡동),31,의원,1,20180122,0,,0,44223,0,1,260004,울산북구,260000,울산,052-977-1000,129.3571198,35.6417384,서울아산 이비인후과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxOTYxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNTEjJDEjJDIjJDgz
울산광역시 남구 삼산로 272 3층 301호 (삼산동),31,의원,1,20130626,0,,0,44719,0,1,260001,울산남구,260000,울산,052-267-6961,129.3368838,35.5388969,서울아산내과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ4MiQyNjE0ODEjODEjJDEjJDYjJDgz
"울산광역시 남구 대학로 128 3층 (무거동, 하늘빌딩)",31,의원,1,20030402,0,,0,44611,0,1,260001,울산남구,260000,울산,052-277-0868,129.2615770,35.5459722,서울아침의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQwMyQzNjEwMDIjNTEjJDEjJDYjJDgz
울산광역시 남구 삼산중로74번길 11 2~3층 (삼산동),31,의원,1,20140529,0,,0,44705,0,1,260001,울산남구,260000,울산,052-268-9928,129.3367021,35.5405161,서울에이치피부과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQ3MiQyNjEwMDIjNjEjJDEjJDgjJDgz
울산광역시 중구 유곡로 29 4층 (태화동),31,의원,1,20101208,0,http://seoul-yeonhap.co.kr/index.asp,0,44452,0,1,260003,울산중구,260000,울산,052-212-2700,129.3064533,35.5563749,서울연합의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQwMyQyNjEwMDIjNTEjJDEjJDIjJDgz
울산광역시 남구 신복로72번길 28-14 2층 (무거동),31,의원,1,20010518,0,,0,44600,0,1,260001,울산남구,260000,울산,052-277-2775,129.2551348,35.5521912,서울의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQxMyQzNjEwMDIjNDEjJDEjJDQjJDgz
울산광역시 울주군 온산읍 덕신로 266 (),31,의원,1,19930907,1,,0,45005,0,0,260100,울산울주군,260000,울산,052-238-8622,129.3104618,35.4335549,서울의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzMxIyQxIyQzIyQxMyQzNjEyMjIjNTEjJDEjJDYjJDgz
울산광역시 남구 삼산로 257 (달동),31,의원,1,19980817,0,,0,44707,0,1,260001,울산남구,260000,울산,052-266-7177,129.3350854,35.5391704,서울이비인후과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQ2MiQ0NjEwMDIjODEjJDEjJDIjJDgz
울산광역시 남구 굴화4길 1 2층 (무거동),31,의원,1,20160614,0,,0,44629,0,1,260001,울산남구,260000,울산,052-224-2157,129.2654539,35.5544287,서울정형외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQwMyQzNjE0ODEjNjEjJDEjJDgjJDgz
울산광역시 남구 중앙로 243-1 2층 (신정동),31,의원,1,20150528,0,,0,44671,0,1,260001,울산남구,260000,울산,052-265-7588,129.3108423,35.5425363,서울척척마취통증의학과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ3MiQyNjEwMDIjNTEjJDEjJDIjJDgz
"울산광역시 남구 삼산로 260 11층 (삼산동, 주연클리닉)",31,의원,1,20051101,0,,0,44719,0,1,260001,울산남구,260000,울산,052-276-5995,129.3356602,35.5386785,서울탑비뇨기과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQ3OSQ0NjEwMDIjNDEjJDEjJDQjJDgz
울산광역시 울주군 온산읍 덕신로 217 1층,31,의원,1,20190327,0,,0,45003,0,1,260100,울산울주군,260000,울산,052-237-1102,129.3049250,35.4342350,서울튼튼소아청소년과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxOTYxIzExIyQyIyQ3IyQwMCQzNjEyMjIjNjEjJDEjJDgjJDgz
울산광역시 남구 삼산중로 65 7층 (달동),31,의원,1,20150902,1,,0,44707,0,0,260001,울산남구,260000,울산,052-922-5827,129.3351135,35.5393185,서울헤어의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQwMyQzNjE4MzIjNTEjJDEjJDYjJDgz
울산광역시 울주군 범서읍 구영로 104 1층,31,의원,1,20090921,0,,0,44923,0,1,260100,울산울주군,260000,울산,052-248-5075,129.2416626,35.5732171,서준영이비인후과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQyIyQ3IyQwMCQzNjE4MzIjODEjJDEjJDYjJDgz
울산광역시 남구 삼산로 25-1 3층 (신정동),31,의원,1,20010507,0,,0,44678,0,1,260001,울산남구,260000,울산,052-269-0075,129.3106446,35.5333622,선비뇨기과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQxMyQzNjEwMDIjNTEjJDEjJDYjJDgz
울산광역시 울주군 범서읍 구영로 100 3층 302호 (구영프라자),31,의원,1,20080303,0,,0,44924,0,1,260100,울산울주군,260000,울산,052-248-7585,129.2413892,35.5736369,성모이비인후과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ5OSQzNjE4MzIjODEjJDEjJDYjJDgz
울산광역시 남구 수암로 95 (신정동),31,의원,1,19930522,0,,0,44739,0,1,260001,울산남구,260000,울산,052-260-7575,129.3183172,35.5294897,성모정형외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzMxIyQxIyQzIyQ4MiQ0NjEwMDIjNjEjJDEjJDgjJDgz
울산광역시 북구 호계로 281 (호계동),31,의원,1,20150810,0,,0,44228,0,1,260004,울산북구,260000,울산,052-285-3800,129.3506949,35.6282862,세나산부인과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ5MiQzNjEwMDIjNDEjJDEjJDQjJDgz
"울산광역시 남구 문수로 339 (옥동, 옥동업무시설)",31,의원,1,20170710,0,,0,44646,0,1,260001,울산남구,260000,울산,052-275-1175,129.2906764,35.5354376,세안안과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQxMyQyNjEwMDIjNjEjJDEjJDAjJDgz
"울산광역시 남구 거마로134번길 17 2층 (신정동, 국제빌딩)",31,의원,1,19990302,1,,0,44651,0,0,260001,울산남구,260000,울산,052-267-8500,129.3048898,35.5382488,세종의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQ1IyQ4MiQzNjEyMjIjNjEjJDEjJDAjJDgz
울산광역시 중구 번영로 487 대호빌딩 3층 (약사동),31,의원,1,20061025,0,,0,44479,0,1,260003,울산중구,260000,울산,052-291-1199,129.3366792,35.5650568,세한정형외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzQxIyQxIyQ3IyQ2MiQzNjEwMDIjNTEjJDEjJDIjJDgz
울산광역시 동구 방어진순환도로 725 (전하동),31,의원,2,20031212,0,,0,44048,0,2,260002,울산동구,260000,울산,052-232-0001,129.4296835,35.5065426,세화연합정형외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ5MiQzNjEyMjIjNDEjJDEjJDgjJDgz
울산광역시 남구 울밀로 2906 5층 502호 (무거동),31,의원,1,20140515,0,,0,44630,0,1,260001,울산남구,260000,울산,052-277-3008,129.2648839,35.5546230,센텀쁘띠클리닉의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQ2MiQzNjEyMjIjNDEjJDEjJDQjJDgz
울산광역시 남구 문수로 376 (옥동),31,의원,1,20050202,0,,0,44662,0,1,260001,울산남구,260000,울산,052-271-8833,129.2943383,35.5341647,센텀신경외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQxMyQyNjEwMDIjNTEjJDEjJDYjJDgz
"울산광역시 북구 제내1길 2 (신천동, 필그린상가 302호)",31,의원,1,20120430,0,,0,44224,0,1,260004,울산북구,260000,울산,052-277-2282,129.3513750,35.6313325,센텀재활의학과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQzIyQwMyQyNjEyMjIjODEjJDEjJDIjJDgz
"울산광역시 남구 삼산로 260 5층 (삼산동, 주연클리닉빌딩)",31,의원,1,20140409,0,,0,44719,0,1,260001,울산남구,260000,울산,052-251-8575,129.3356602,35.5386785,센텀정형외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNTEjJDEjJDYjJDgz
울산광역시 북구 매산로 15 지상2층 202호 (매곡동),31,의원,1,20181224,0,,0,44223,0,1,260004,울산북구,260000,울산,052-931-1004,129.3571198,35.6417384,센트럴성모안과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
울산광역시 울주군 청량읍 덕하로 228 (),31,의원,1,20000918,0,,0,44984,0,1,260100,울산울주군,260000,울산,052-258-7328,129.3047452,35.4911573,소망의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQ2MiQyNjE4MzIjNjEjJDEjJDAjJDgz
울산광역시 동구 방어진순환도로 1138 (서부동),31,의원,1,20050610,0,,0,44010,0,1,260002,울산동구,260000,울산,052-251-1123,129.4241745,35.5399623,소망정형외과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQ4OSQ0NjEwMDIjODEjJDEjJDYjJDgz
"울산광역시 남구 삼산로 266 12층 (삼산동, 굿모닝클리닉)",31,의원,1,20161031,0,,0,44719,0,1,260001,울산남구,260000,울산,052-716-2333,129.3362911,35.5387849,소정마취통증의학과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ5OSQzNjEwMDIjNjEjJDEjJDgjJDgz
울산광역시 동구 월봉8길 54 (화정동),31,의원,1,19970228,0,,0,44083,0,1,260002,울산동구,260000,울산,052-236-6777,129.4241318,35.4942898,소창옥소아청소년과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQxMyQzNjE0ODEjNTEjJDEjJDIjJDgz
울산광역시 남구 수암로 134 7층 (야음동),31,의원,1,20130607,0,,0,44750,0,1,260001,울산남구,260000,울산,052-911-2200,129.3216992,35.5272745,속튼튼김내과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ3MiQyNjE4MzIjNjEjJDEjJDgjJDgz
울산광역시 울주군 온산읍 덕신로 279 수산업협동조합(온산점) 2층,31,의원,1,20190104,0,,0,45001,0,1,260100,울산울주군,260000,울산,052-237-1199,129.3119469,35.4342451,속편한김내과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQ4OSQyNjE0ODEjNTEjJDEjJDIjJDgz
"울산광역시 남구 삼산로 281 3, 4층 (삼산동)",31,의원,3,20100929,0,,0,44705,0,3,260001,울산남구,260000,울산,256-6336,129.3376525,35.5396876,속편한내과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ5OSQzNjEwMDIjNjEjJDEjJDAjJDgz
울산광역시 남구 삼산중로 86 (삼산동),31,의원,1,20050721,0,,0,44705,0,1,260001,울산남구,260000,울산,052-273-7878,129.3357995,35.5412536,손병민산부인과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzIxIyQxIyQ1IyQ3OSQyNjE4MzIjNDEjJDEjJDgjJDgz
울산광역시 동구 진성14길 128 3층 (전하동),31,의원,1,20010316,0,,0,44043,0,1,260002,울산동구,260000,울산,052-235-8275,129.4263185,35.5114840,손석호내과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ2MiQ0NjE0ODEjNDEjJDEjJDgjJDgz
울산광역시 중구 유곡로 11 (태화동),31,의원,1,20031011,0,,0,44452,0,1,260003,울산중구,260000,울산,052-246-3930,129.3082788,35.5563046,손재일이비인후과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzExIyQyIyQzIyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz
울산광역시 동구 대학길 35 (화정동),31,의원,1,19971126,0,,0,44070,0,1,260002,울산동구,260000,울산,052-236-3913,129.4197563,35.4987582,송병수의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ3OSQyNjE4MzIjNTEjJDEjJDYjJDgz
